序号,项目名称,型号,生产令号,备注,令号年份,添加时间,
1,川东钻探ZJ40DBS-J,ZJ40DBS-J,SZ40DBSJ0418T,,2004,2004-3-1,
2,长城公司ZJ50DT,ZJ50DT,SZ50DT04034T,,2004,2004-3-1,
3,川局井下作业处ZJ15L,ZJ15L,SX15L00435T,,2004,2004-3-1,
